KEY	values-en	values-zh-rCN	values-zh-rTW	values-ro	values-ru	values-uk	values-es	values-pt-rBR	values-de	values-bg	values
app_name	Gallery	图库							Galerie	Галерия	Gallery
app_name_s	Album	相册							Alben	lbums	Album
app_name_f		人脸相册									Face Album
que_ding	OK	确定							OK	ok	OK
qu_xiao	Cancel	取消							Abbrechen	cancel	Cancel
tab_title_time	Time	时间							Uhrzeit	time	Time
tab_title_folder	Album	相册							Alben	albums	Album
tab_title_face	Face	面孔									Face
permissions_request_ok	Permissions request success	权限获取成功									Permissions request success
permissions_request_right_now	Permissions request right_now	立即开启									Permissions request right_now
permissions_can_not_use	Permissions can not use	权限不可用									Permissions can not use
permissions_shuoming_start	Plean in Setting-Application-Authority，Allow	请在-应用设置-权限-中，允许									Plean in Setting-Application-Authority，Allow
permissions_shuoming_end	Access to photo, media content and files on your device	访问您设备上的照片、媒体内容和文件									Access to photo, media content and files on your device
wt_gallery_fx	Share	分享	分享	Partajare	Поделиться	Спільне використання	Compartir	Compartilhar 	Teilen	Споделяне	Share
wt_gallery_sc	Delete	删除	刪除	Ştergere	Удалить	Видалити	Eliminar	Excluir	Löschen	Изтриване	Delete
wt_gallery_qx	Select all	全选	全選	Selectare toate	Выбрать все	Вибрати всі	Seleccionar todos	Selecionar tudo	Alles auswählen	Избиране на всички	Select all
wt_gallery_qxqx	Deselect all	取消全选	取消全選	Deselectare toate	Отменить выбор всего	Скасувати вибір	Deseleccionar todo	Tirar a seleção de tudo	Alle abwählen	Премахване на отметките от всички	Deselect all
wt_gallery_bj	Edit	编辑	編輯	Editare	Изменить	Змінити	Editar	Editar	Editieren	Редактиране	Edit
wt_gallery_gd	More	更多	更多	Mai multe	Еще	Ще	Más	Mais 	Mehr	Още	More
wt_gallery_xz	Select	选择	選擇	Selectare	Выбрать	Вибрати	Seleccionar	Selecionar	Wählen Sie	Избиране	Select
delete_selection_one	Delete selected items?	要删除所选内容吗？							Ausgewählte Elemente löschen?	delete_selection	Delete selected items?
delete_selection_other	Delete selected all items?	要删除所选内容吗？							Ausgewählte Elemente löschen?	delete_selection	Delete selected all items?
main_btn1	Sliding effect 1	幻灯片效果1	幻燈片效果 1	Efect de tranziție 1	Функция перемещения пальца по экрану 1	Функція переміщення пальця по екрану 1	Efecto de deslizamiento 1	Efeito de deslizamento 1	Gleiteffekt 1	Ефект при плъзгане по екрана 1	Sliding effect 1
